,Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
42,2019,Acura,TLX,23216 km,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,,4,Gas,11.4L/100km,7.7L/100km,33295
43,2020,Acura,RDX,39100 km,SUV,4 Cylinder Engine,10 Speed Automatic,AWD,Platinum White Pearl,,5.0,4,Gas,11.3L/100km,9.1L/100km,44988
44,2017,Acura,MDX,65522 km,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,7.0,4,Gas,12.6L/100km,9.0L/100km,33390
45,2019,Acura,TLX,43150 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,,,4,Gas,10.2L/100km,7.4L/100km,33495
46,2017,Acura,MDX,97000 km,SUV,V6 Cylinder Engine,Automatic,AWD,Dark Grey,Grey,7.0,4,Gas,12.6L/100km,9.0L/100km,33777
47,2019,Acura,MDX,116802 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Majestic Black Pearl,Black,,4,Gas,12.2L/100km,9.0L/100km,33795
48,2019,Acura,TLX,38069 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Crystal Black Pearl,Black,5.0,4,Gas,11.4L/100km,7.7L/100km,33888
49,2017,Acura,MDX,91412 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Black,Black,,,Gas,12.6L/100km,9.0L/100km,33994
50,2019,Acura,RDX,114612 km,SUV,4 Cylinder Engine,Automatic,AWD,Performance Red Pearl,Black,5.0,4,Gas,11.3L/100km,9.1L/100km,34390
51,2018,Acura,MDX,118800 km,SUV,3.5,Automatic,AWD,Crystal Black Pearl,Brown,,4,Gas,12.6L/100km,9.0L/100km,34488
52,2018,Acura,MDX,82000 km,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Brown,7.0,4,Gas,12.6L/100km,9.0L/100km,34777
53,2017,Acura,MDX,91412 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Black,Black,,,Gas,12.6L/100km,9.0L/100km,33994
54,2019,Acura,MDX,141120 km,SUV,V6 Cylinder Engine,Automatic,AWD,Majestic Black Pearl,Black,7.0,,Gas,12.2L/100km,9.0L - 9.5L/100km,34880
55,2018,Acura,MDX,98000 km,SUV,V6 Cylinder Engine,Automatic,AWD,White Diamond Pearl,Black,7.0,4,Gas,12.6L/100km,9.0L/100km,34950
56,2018,Acura,RLX,115527 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Black,Grey,5.0,,Gas,8.4L/100km,8.2L/100km,34998
57,2019,Acura,MDX,102000 km,SUV,3.5,Automatic,AWD,Majestic Black Pearl,Black,7.0,4,Gas,12.2L/100km,9.0L/100km,35480
58,2019,Acura,RDX,102000 km,SUV,4 Cylinder Engine,Automatic,AWD,Majestic Black Pearl,Black,5.0,4,Gas,11.0L/100km,8.6L/100km,35850
59,2019,Acura,RDX,79032 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,White Diamond Pearl,Cream,5.0,4,Gas,11.0L/100km,8.6L/100km,35990
60,2021,Acura,ILX,9209 km,Sedan,I-4 cyl,8 Speed Automatic with auto-shift,FWD,Platinum White Pearl,Red,,,Gas,9.8L/100km,6.9L/100km,35995
61,2019,Acura,MDX,78702 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Performance Red Pearl,Black,,4,Gas,12.2L/100km,9.0L - 9.5L/100km,35995
62,2018,Acura,MDX,77127 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Modern Steel Metallic,Black,,,Gas,12.6L/100km,9.0L/100km,36486
63,2018,Acura,MDX,94862 km,SUV,6,Automatic,AWD,Crystal Black Pearl,,7.0,4,Gas,12.6L/100km,9.0L/100km,34743
64,2019,Acura,RDX,75420 km,SUV,2.0L 4 Cylinder Engine,Automatic,AWD,Lunar Silver Metallic,Black,5.0,4,Gas,11.0L/100km,8.6L/100km,36995
65,2020,Acura,RDX,65795 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Majestic Black Pearl,Black,,4,Gas,11.0L/100km,8.6L/100km,37495
66,2019,Acura,MDX,76885 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,12.2L/100km,9.0L - 9.5L/100km,37495
67,2019,Acura,RDX,68263 km,SUV,4 Cylinder Engine,,AWD,White Diamond Pearl,Black,,,Gas,11.0L/100km,8.6L/100km,37498
68,2019,Acura,MDX,79344 km,SUV,3.5L 6cyl,9 Speed Automatic,AWD,Majestic Black Pearl,Black,7.0,,Gas,12.2L/100km,9.0L - 9.5L/100km,37888
69,2019,Acura,RDX,75786 km,SUV,I-4 cyl,10 Speed Automatic,AWD,White Diamond Pearl,,,,Gas,11.3L/100km,9.1L/100km,38388
70,2019,Acura,RDX,61006 km,SUV,I-4 cyl,10 Speed Automatic,AWD,Apex Blue Pearl,Black,,,Gas,11.3L/100km,9.1L/100km,39088
71,2020,Acura,RDX,48759 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,Black,,4,Gas,11.0L/100km,8.6L/100km,39295
72,2020,Acura,RDX,88483 km,SUV,I-4 cyl,10 Speed Automatic,AWD,Modern Steel Metallic,Red,,,Gas,11.3L/100km,9.1L/100km,39588
73,2018,Acura,ILX,33810 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Lunar Silver Metallic,,5.0,4,Gas,9.4L/100km,6.8L/100km,26988
74,2020,Acura,TLX,52337 km,Sedan,V-6 cyl,9 Speed Automatic,AWD,Platinum White Pearl,Black,5.0,4,Premium Unleaded,12.0L/100km,8.2L/100km,39799
75,2020,Acura,RDX,99000 km,SUV,4 Cylinder Engine,Automatic,AWD,Platinum White Pearl,Black,5.0,4,Gas,11.3L/100km,9.1L/100km,39850
76,2020,Acura,RDX,83981 km,SUV,4 Cylinder Engine,,AWD,Modern Steel Metallic,Red,,,Gas,11.3L/100km,9.1L/100km,39890
77,2019,Acura,MDX,78000 km,SUV,6 Cylinder,Automatic,AWD,Majestic Black Pearl,Black,7.0,4,Gas,12.2L/100km,9.0L/100km,39995
78,2019,Acura,MDX,67208 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,White Diamond Pearl,Black,,4,Gas,12.2L/100km,9.0L/100km,40495
79,2020,Acura,RDX,96233 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5.0,4,Premium Unleaded,11.3L/100km,9.1L/100km,40888
80,2019,Acura,RDX,33032 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,White Diamond Pearl,Black,5.0,4,Premium Unleaded,11.0L/100km,8.6L/100km,40888
81,2020,Acura,MDX,53960 km,SUV,V6 Cylinder Engine,Automatic,AWD,Modern Steel Metallic,Red,7.0,4,Gas,12.2L/100km,9.5L/100km,40990
82,2020,Acura,MDX,65684 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,12.3L/100km,9.2L/100km,40995
83,2020,Acura,RDX,59380 km,SUV,4 Cylinder Engine,,AWD,Platinum White Pearl,,,,Gas,11.0L/100km,8.6L/100km,42994
84,2021,Acura,TLX,38897 km,Sedan,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Fathomless Black Pearl,Cream,5.0,4,Gas,11.2L/100km,8.0L/100km,41394
85,2020,Acura,RDX,35473 km,SUV,4 Cylinder Engine,Automatic,AWD,Modern Steel Metallic,Black,5.0,4,Gas,11.3L/100km,9.1L/100km,41990
86,2020,Acura,RDX,56139 km,SUV,I-4 cyl,10 Speed Automatic,AWD,Platinum White Pearl,Red,,,Gas,11.3L/100km,9.1L/100km,42588
87,2020,Acura,RDX,48368 km,SUV,I-4 cyl,10 Speed Automatic,AWD,Platinum White Pearl,Brown,,,Gas,11.0L/100km,8.6L/100km,42588
88,2020,Acura,RDX,44502 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Majestic Black Pearl,,,4,Gas,11.3L/100km,9.1L/100km,42599
89,2019,Acura,MDX,65060 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,White Diamond Pearl,Red,7.0,4,Gas,12.2L/100km,9.0L - 9.5L/100km,42888
90,2020,Acura,TLX,12980 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Platinum White Pearl,Red,5.0,4,Gas,11.4L - 12.0L/100km,7.7L - 8.2L/100km,42888
91,2020,Acura,RDX,42017 km,SUV,4 Cylinder Engine,Automatic,AWD,Majestic Black Pearl,Black,5.0,4,Gas,11.0L/100km,8.6L/100km,42990
92,2020,Acura,RDX,59380 km,SUV,4 Cylinder Engine,,AWD,Platinum White Pearl,,,,Gas,11.0L/100km,8.6L/100km,42994
93,2021,Acura,RDX,58742 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,,,4,Gas,11.3L/100km,9.1L/100km,43495
94,2021,Acura,RDX,58742 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,,,4,Gas,11.3L/100km,9.1L/100km,43495
95,2020,Acura,MDX,80754 km,SUV,Premium Unleaded V-6 3.5 L/212,Automatic,AWD,Modern Steel Metallic,,,4,Gas,12.2L/100km,9.5L/100km,43770
96,2019,Acura,MDX,53052 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Majestic Black Pearl,Red,,,Gas,12.2L/100km,9.0L - 9.5L/100km,43880
97,2020,Acura,MDX,57590 km,SUV,V-6 cyl,9 Speed Automatic,AWD,Lunar Silver Metallic,,,,Premium Unleaded,12.2L/100km,9.5L/100km,43997
98,2021,Acura,RDX,44337 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,11.3L/100km,9.1L/100km,44295
99,2020,Acura,RDX,50702 km,SUV,4 Cylinder Engine,,AWD,Platinum White Pearl,Black,,,Gas,11.0L/100km,8.6L/100km,44599
100,2021,Acura,TLX,21448 km,Sedan,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,Brown,,4,Gas,11.2L/100km,8.0L/100km,44995
101,2021,Acura,RDX,32479 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Modern Steel Metallic,,,4,Gas,11.3L/100km,9.1L/100km,45295
102,2020,Acura,RDX,25873 km,SUV,I-4 cyl,Automatic,AWD,Modern Steel Metallic,Red,,,Gas,11.3L/100km,9.1L/100km,45995
103,2021,Acura,RDX,32479 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Modern Steel Metallic,,,4,Gas,11.3L/100km,9.1L/100km,45295
104,2021,Acura,RDX,67950 km,SUV,4 Cylinder Engine,,AWD,Apex Blue Pearl,Red,,,Gas,11.3L/100km,9.1L/100km,46989
105,2021,Acura,TLX,29704 km,Sedan,2.0L 4cyl,10 Speed Automatic,AWD,Platinum White Pearl,Black,5.0,4,Premium Unleaded,11.2L/100km,8.0L/100km,47099
106,2021,Acura,RDX,33413 km,SUV,I-4 cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Red,,,Gas,11.3L/100km,9.1L/100km,47588
107,2022,Acura,TLX,12209 km,Sedan,I-4 cyl,10 Speed Automatic,AWD,Modern Steel Metallic,Red,,,Gas,11.3L/100km,8.1L/100km,50188
108,2022,Acura,RDX,29776 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,,,4,Gas,11.3L/100km,9.1L/100km,52795
109,2021,Acura,TLX,29841 km,Sedan,V6 Cylinder Engine 3.0L,Automatic,AWD,Platinum White Pearl,Red,,4,Gas,12.3L/100km,9.8L/100km,55995
110,2022,Acura,MDX,31000 km,SUV,3.5L,Automatic,AWD,Majestic Black Pearl,Red,7.0,4,Gas,12.6L/100km,9.4L/100km,60899
111,2022,Acura,MDX,32865 km,SUV,V6 Cylinder Engine,,AWD,Lunar Silver Metallic,Black,,,Gas,12.6L/100km,9.4L/100km,62599
112,2013,Acura,RDX,267187 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,White,Black,,4,Gas,9.8L/100km,6.2L/100km,10795
113,2019,Acura,MDX,53052 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Majestic Black Pearl,Red,,,Gas,12.2L/100km,9.0L - 9.5L/100km,43880
114,2014,Acura,RDX,209511 km,SUV,V-6 cyl,6 Speed Automatic,AWD,Crystal Black Pearl,Black,,,Gas,10.7L/100km,7.3L/100km,13588
115,2011,Acura,MDX,161202 km,SUV,V6 Cylinder Engine,Automatic,AWD,Aspen White Pearl,Cream,7.0,4,Gas,13.2L/100km,9.6L/100km,13985
116,2013,Acura,MDX,223000 km,SUV,6 Cylinder,Automatic,AWD,Black,Black,7.0,4,Gas,13.2L/100km,9.6L/100km,13999
117,2014,Acura,TL,136541 km,Sedan,6 Cylinder,Automatic,FWD,Silver Moon Metallic,Black,5.0,4,Gas,10.4L/100km,6.8L/100km,16900
118,2014,Acura,RDX,158868 km,SUV,3.5,6 Speed Automatic,AWD,Silver,Black,5.0,5,Gas,10.7L/100km,7.3L/100km,17998
119,2015,Acura,RDX,172000 km,SUV,6 Cylinder,Automatic,AWD,Silver,Black,5.0,4,Gas,12.1L/100km,8.7L/100km,17999
120,2019,Acura,TLX,58610 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Crystal Black Pearl,,,4,Gas,10.0L/100km,7.1L/100km,28495
121,2019,Acura,RDX,75786 km,SUV,I-4 cyl,10 Speed Automatic,AWD,White Diamond Pearl,,,,Gas,11.3L/100km,9.1L/100km,38388
122,2019,Acura,RDX,33032 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,White Diamond Pearl,Black,5.0,4,Premium Unleaded,11.0L/100km,8.6L/100km,40888
123,2021,Acura,RDX,44337 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,11.3L/100km,9.1L/100km,44295
124,2019,Acura,TLX,34396 km,Sedan,3.5L 6cyl,9 Speed Automatic,AWD,Crystal Black Pearl,Tan,5.0,4,Premium Unleaded,11.4L/100km,7.7L/100km,36499
125,2019,Acura,ILX,41116 km,Sedan,Premium Unleaded I-4 2.4 L/144,Automatic,FWD,Platinum White Pearl,Black,5.0,4,Gas,9.9L/100km,7.0L/100km,29995
126,2020,Acura,TLX,31756 km,Sedan,Premium Unleaded V-6 3.5 L/212,Automatic,AWD,Platinum White Pearl,Black,5.0,4,Gas,12.0L/100km,8.2L/100km,39836
127,2014,Acura,RDX,290000 km,,,Automatic,AWD,Black,,,4 doors,Gasoline,,,11600
128,2019,Acura,RDX,110024 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Modern Steel Metallic,Black,5.0,4,Gas,11.0L/100km,8.6L/100km,34995
129,2015,Acura,TLX,137835 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,5.0,,Gas,11.2L/100km,7.5L/100km,19450
130,2016,Acura,ILX,76836 km,Sedan,4 Cylinder Engine,Automatic,FWD,Bellanova White Pearl,Black,5.0,4,Gas,9.4L/100km,6.5L/100km,19890
131,2016,Acura,TLX,117699 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Grey,,,4,Gas,9.6L/100km,6.6L/100km,21995
132,2018,Acura,ILX,104000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Crystal Black Pearl,Black,5.0,4,Gas,9.4L/100km,6.8L/100km,22950
133,2020,Acura,TLX,52337 km,Sedan,V-6 cyl,9 Speed Automatic,AWD,Platinum White Pearl,Black,5.0,4,Premium Unleaded,12.0L/100km,8.2L/100km,39799
134,2016,Acura,MDX,193000 km,SUV,6 Cylinder,Automatic,AWD,White,Black,7.0,4,Gas,12.7L/100km,9.1L/100km,23995
135,2016,Acura,MDX,145000 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,Beige,7.0,4,Gas,12.7L/100km,9.1L/100km,23999
136,2019,Acura,TLX,73340 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Still Night Blue Pearl,Black,5.0,4,Gas,12.0L/100km,8.2L/100km,26471
137,2018,Acura,ILX,37089 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Black,Black,,4,Gas,9.4L/100km,6.8L/100km,26595
138,2018,Acura,TLX,106548 km,Sedan,2.4L L4 DOHC 16V,Automatic,FWD,Bellanova White Pearl,Red,,4,Gas,,,28998
139,2017,Acura,MDX,163527 km,SUV,3.5,9 Speed Automatic,AWD,Black,Black,,4,Gas,12.6L/100km,9.0L/100km,29780
140,2018,Acura,RDX,76620 km,SUV,3.5L V6 F SOHC 24V,Automatic,AWD,Lunar Silver Metallic,Black,,2,Gas,12.4L/100km,8.7L/100km,29999
141,2019,Acura,ILX,40734 km,Sedan,I-4 cyl,8 Speed Automatic with auto-shift,FWD,Platinum White Pearl,Black,,,Gas,9.9L/100km,7.0L/100km,30989
142,2017,Acura,MDX,123240 km,SUV,3.5,9 Speed Automatic,AWD,White Diamond Pearl,Black,,4,Gas,12.6L/100km,9.0L/100km,32480
143,2019,Acura,TLX,43150 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,,,4,Gas,10.2L/100km,7.4L/100km,33495
144,2019,Acura,TLX,65339 km,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,,,4,Gas,11.4L - 12.0L/100km,7.7L - 8.2L/100km,34995
145,2017,Acura,MDX,99000 km,SUV,3.5L V6 Cylinder Engine,Automatic,AWD,Black,Black,7.0,4,Gas,12.2L/100km,9.0L/100km,35950
146,2020,Acura,ILX,30500 km,Sedan,2.4,Automatic,FWD,Platinum White Pearl,Red,,4,Gas,9.9L/100km,7.0L/100km,35999
147,2020,Acura,TLX,81676 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Platinum White Pearl,,,,Gas,12.0L/100km,8.2L/100km,38549
148,2019,Acura,RDX,30192 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Majestic Black Pearl,Black,,4,Gas,11.0L/100km,8.6L/100km,38995
149,2020,Acura,TLX,49921 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Majestic Black Pearl,Black,,,Gas,12.0L/100km,8.2L/100km,40850
150,2019,Acura,RDX,13289 km,SUV,4 Cylinder Engine,10 Speed Automatic,AWD,White Diamond Pearl,Black,5.0,4,Gas,11.0L/100km,8.6L/100km,43995
151,2020,Acura,RDX,27800 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5.0,4,Premium Unleaded,11.3L/100km,9.1L/100km,49099
152,2022,Acura,TLX,7700 km,Sedan,I-4 cyl,10 Speed Automatic,AWD,Apex Blue Pearl,Black,,,Gas,11.3L/100km,8.1L/100km,49988
153,2020,Acura,MDX,65684 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,,4,Gas,12.3L/100km,9.2L/100km,40995
154,2008,Acura,MDX,184000 km,SUV,V6 Cylinder Engine,5 Speed Automatic,AWD,Black,Beige,7.0,4,Gas,13.8L/100km,10.0L/100km,9995
155,2013,Acura,MDX,244685 km,SUV,3.7,6 Speed Automatic,AWD,Black,Brown,7.0,4,Gas,13.2L/100km,9.6L/100km,11888
156,2016,Acura,ILX,203360 km,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Black,,,4,Gas,,,15299
157,2014,Acura,TL,168000 km,Sedan,6 Cylinder,Automatic,FWD,Bellanova White Pearl,Black,5.0,4,Gas,10.4L/100km,6.8L/100km,15895
158,2011,Acura,MDX,154800 km,SUV,3.7L 6cyl,6 Speed Automatic,AWD,Crystal Black Pearl,Black,,4,Gas,13.2L/100km,9.6L/100km,15995
159,2015,Acura,ILX,171697 km,Sedan,4 Cylinder Engine 2.0L,Automatic,FWD,Bellanova White Pearl,,,4,Gas,9.8L/100km,6.7L/100km,15995
160,2014,Acura,MDX,220000 km,SUV,6 Cylinder,Automatic,AWD,White,Beige,7.0,4,Gas,,,18995
161,2017,Acura,TLX,191000 km,Sedan,6 Cylinder,Automatic,AWD,Modern Steel Metallic,Black,5.0,4,Gas,11.2L/100km,7.5L/100km,19995
