MES,CLIENTE,NRO_VEC_COB,PDPs_ROTAS,ESTADO_PDP,NRO_CUOTAS,MES_0,MES_1,MES_2,FECHALLAMADA,HORA,DEUDA_TOTAL,ESTATUS,ACTIVACION,MORA,TIPOCONTACTO
201402,C00041,>10,0,0,"<24, 48]",1420.84,1418.66,,04/02/2014,12,25832.1,BT,2011,1,CNE
201402,C00043,,0,0,"<24, 48]",1024.32,0,0,06/02/2014,13,21595,BT,2012,1,COEF
201402,C00045,>10,0,0,>48,759.69,762.5,682.64,20/02/2014,14,10334.2,BT,2011,1,CNE
201402,C00046,>10,>0,0,"<24, 48]",1671.58,0,0,07/02/2014,12,20898.2,BT,2012,0,CNE
201402,C00047,<=10,0,0,,191.69,699.62,0,11/02/2014,13,12211.5,BT,2012,1,CNE
201402,C00049,,>0,0,>48,1451.22,0,423.1,06/02/2014,12,19821,BT,2013,0,CNE
201402,C00050,,>0,0,"<24, 48]",1167.02,0,0,03/02/2014,10,4593.46,BT,2012,0,CNE
201402,C00051,>10,0,1,"<24, 48]",403.76,0,0,05/02/2014,16,6409.44,BT,2011,1,CNE
201402,C00052,<=10,0,0,>48,608.59,1209.62,614.19,20/02/2014,16,13666.8,BT,2012,1,CNE
201402,C00054,>10,0,0,>48,47.23,1397.87,0,18/02/2014,19,40331.9,BT,2012,1,CNE
201402,C00055,<=10,0,0,"<24, 48]",21.66,0,795.75,19/02/2014,10,15737,BT,2013,1,CNE
201402,C00056,>10,0,0,"<24, 48]",663.18,664.63,658.93,13/02/2014,9,13791.5,BT,2012,1,COEF
201402,C00057,<=10,0,0,>48,358.04,0,0,20/02/2014,9,5777.9,BT,2010,1,CNE
201402,C00058,>10,0,0,"<24, 48]",151.27,0,153.89,03/02/2014,15,1884.98,BT,2012,1,CNE
201402,C00060,,>0,0,<=24,621.97,632.01,637.7,14/02/2014,17,621.3,BT,2013,0,COEF
201402,C00061,,0,0,,408.37,1170.67,1165.31,13/02/2014,9,14789.7,BT,2011,1,CNE
201402,C00062,<=10,>0,0,<=24,47.29,0,0,19/02/2014,9,1731.19,BT,2012,1,COEF
201402,C00064,,0,0,>48,332.77,0,333.15,11/02/2014,13,2994.43,BT,2010,1,CNE
201402,C00065,<=10,>0,0,>48,733.41,735.75,0,04/02/2014,16,16281.8,BT,2012,1,CNE
201402,C00066,>10,0,0,>48,1941.43,1.72,0,03/02/2014,10,66469.5,BT,2012,1,COEF
201402,C00067,<=10,0,0,"<24, 48]",131.7,263.74,264.18,24/02/2014,14,3090.25,BT,2013,1,CNE
201402,C00069,<=10,0,0,>48,2028.47,3047.2,0,11/02/2014,9,26481.1,BT,2013,1,COEF
201402,C00071,<=10,0,0,"<24, 48]",2305.97,0,0,28/02/2014,8,20515,BT,2013,0,CNE
201402,C00072,,0,0,>48,1518.39,0,0,05/02/2014,19,22994.3,BT,2013,0,CNE
201402,C00073,>10,0,0,>48,715.94,0,357.28,13/02/2014,15,5443.86,BT,2011,0,COEF
201402,C00074,<=10,0,0,"<24, 48]",746.32,0,0,03/02/2014,18,16525.5,BT,2013,1,CNE
201402,C00075,<=10,>0,0,"<24, 48]",1569.31,0,0,11/02/2014,12,18654.2,BT,2012,0,CNE
201402,C00077,,0,0,"<24, 48]",502.29,0,,19/02/2014,8,13167.5,BT,2013,1,COEF
201402,C00078,>10,0,0,"<24, 48]",123.64,651.18,1095.72,11/02/2014,12,19009.7,BT,2011,1,COEF
201402,C00080,>10,0,0,>48,1642.75,0,0,06/02/2014,17,12496,BT,2012,0,CNE
201402,C00081,,0,0,"<24, 48]",253.19,253,254.08,26/02/2014,16,2739.17,BT,2012,1,CNE
201402,C00082,>10,0,0,>48,457.07,922.7,1393.47,07/02/2014,14,10292.9,BT,2012,1,CNE
201402,C00083,>10,0,0,"<24, 48]",108.91,0,0,11/02/2014,7,1577.7,BT,2012,1,COEF
201402,C00084,<=10,>0,0,"<24, 48]",348.65,348.65,0,27/02/2014,8,4922.87,BT,2011,1,COEF
201402,C00085,,0,0,"<24, 48]",230.48,228.77,232.68,06/02/2014,20,3037.76,BT,2012,1,COEF
201402,C00087,>10,0,0,"<24, 48]",321.87,198.05,228.74,05/02/2014,12,8117.28,BT,2011,1,CNE
201402,C00088,<=10,0,0,>48,859.02,1725.94,0,07/02/2014,9,24734.5,BT,2013,1,COEF
201402,C00089,>10,0,0,>48,120.89,120.97,121,12/02/2014,9,1486.35,BT,2011,1,CNE
201402,C00090,>10,0,0,"<24, 48]",266.61,0,0,06/02/2014,12,1034.77,BT,2011,1,COEF
201402,C00091,,0,0,"<24, 48]",426.16,425.53,0,14/02/2014,11,2810.4,BT,2011,1,COEF
201402,C00092,<=10,0,0,"<24, 48]",1898.43,0,0,05/02/2014,16,12572.7,BT,2011,0,COEF
201402,C00093,>10,0,0,,366.64,366.16,362.61,04/02/2014,7,1042.37,BT,2011,1,COEF
201402,C00094,<=10,0,0,>48,461.3,460.51,0,13/02/2014,9,7044.12,BT,2011,1,CNE
201402,C00095,<=10,0,0,>48,1839.93,1899.59,0,05/02/2014,18,62973.1,BT,2013,1,CNE
201402,C00096,>10,>0,0,>48,455.28,0,,14/02/2014,12,9310.3,BT,2012,1,COEF
201402,C00099,<=10,0,0,"<24, 48]",2540.53,0,0,07/02/2014,14,47253.7,BT,2011,1,CNE
201402,C00100,>10,0,0,>48,1494.37,1424.89,0,04/02/2014,17,51194.3,BT,2011,1,COEF
201402,C00101,<=10,0,0,,2447.99,0,137.21,04/02/2014,9,73059.9,BT,2013,1,COEF
201402,C00102,<=10,0,0,"<24, 48]",165.8,0,0,25/02/2014,10,14537.4,BT,2013,1,CNE
201402,C00103,<=10,>0,0,>48,2664.09,0,0,28/02/2014,20,49529.6,BT,2013,0,CNE
201402,C00104,>10,0,0,>48,138.89,108.32,,03/02/2014,15,3990.31,BT,2011,1,CNE
201402,C00105,,0,0,"<24, 48]",184.62,0,174,06/02/2014,8,5361.23,BT,2013,1,CNE
201402,C00106,<=10,0,0,,877.75,0.52,0,04/02/2014,14,25731.5,BT,2013,1,COEF
201402,C00107,,0,0,"<24, 48]",2479.12,0,0,20/02/2014,17,24952.8,BT,2012,0,CNE
201402,C00108,,0,0,"<24, 48]",438.61,0,,04/02/2014,7,10213,BT,2012,1,COEF
201402,C00109,<=10,0,0,>48,1227.91,0,0,03/02/2014,8,45741,BT,2013,1,CNE
201402,C00110,<=10,0,0,>48,317.91,0,358.43,25/02/2014,8,6662.66,BT,2012,1,CNE
201402,C00111,<=10,0,0,<=24,315.33,633.91,956.46,11/02/2014,9,3196.97,BT,2013,1,CNE
201402,C00112,,>0,0,>48,1219.04,0,0,27/02/2014,7,4069.57,BT,2010,0,COEF
201402,C00113,,0,0,>48,42.17,304.87,50.9,11/02/2014,15,5109.12,BT,2011,1,CNE
201402,C00114,<=10,0,0,"<24, 48]",990.14,0,0,12/02/2014,14,28213.8,BT,2013,1,CNE
201402,C00116,<=10,>0,0,"<24, 48]",301.82,82.91,303.95,14/02/2014,14,4285.29,BT,2012,1,CNE
201402,C00117,>10,>0,0,"<24, 48]",804.7,939.91,108.24,13/02/2014,16,22292,BT,2012,1,COEF
201402,C00118,,0,0,"<24, 48]",636.92,638.95,1281.45,10/02/2014,7,16359.7,BT,2012,1,COEF
201402,C00121,<=10,0,0,<=24,630.6,636.63,0,20/02/2014,18,629.93,BT,2013,0,CNE
201402,C00122,,0,0,"<24, 48]",775.63,772.88,1163.29,18/02/2014,19,4533.27,BT,2011,0,CNE
201402,C00123,>10,0,0,>48,435.02,434.94,0,18/02/2014,12,7286.48,BT,2011,1,CNE
201402,C00124,<=10,0,0,"<24, 48]",1409.41,0,0,21/02/2014,17,12255.2,BT,2013,0,CNE
201402,C00125,,0,0,"<24, 48]",845.4,845.57,842.01,12/02/2014,16,11482.9,BT,2011,1,COEF
201402,C00126,<=10,0,0,"<24, 48]",38.64,0,0,05/02/2014,7,4879.99,BT,2013,1,COEF
201402,C00128,,0,0,"<24, 48]",183.05,0,1443.78,07/02/2014,12,45493.5,BT,2013,1,COEF
201402,C00129,<=10,>0,0,<=24,1647.43,605.73,1218.41,12/02/2014,10,10177.2,BT,2013,0,COEF
201402,C00130,<=10,>0,0,>48,3133.46,0,0,28/02/2014,18,32661.3,BT,2013,0,CNE
201402,C00131,<=10,0,0,"<24, 48]",205.89,0,0,07/02/2014,9,10143.5,BT,2012,1,COEF
201402,C00132,<=10,0,0,"<24, 48]",777.96,777.4,0,19/02/2014,7,23721.2,BT,2013,1,COEF
201402,C00133,,0,0,>48,168.29,0,,05/02/2014,14,22581.8,BT,2013,1,CNE
201402,C00135,,0,0,"<24, 48]",683.01,0,0,18/02/2014,12,16507.1,BT,2013,1,COEF
201402,C00136,>10,0,0,"<24, 48]",116.91,0,130.98,03/02/2014,15,1637.96,BT,2012,1,COEF
201402,C00137,<=10,0,0,<=24,506.22,0,,03/02/2014,12,4218.25,BT,2013,1,COEF
201402,C00139,<=10,>0,0,"<24, 48]",248.47,329.63,164.38,27/02/2014,16,2891.52,BT,2012,0,COEF
201402,C00141,<=10,0,0,>48,310.15,506.6,0,11/02/2014,7,10440.7,BT,2012,1,COEF
201402,C00142,>10,0,0,>48,553.72,316.99,109.39,11/02/2014,7,18274.9,BT,2011,1,COEF
201402,C00143,,0,0,,2587.07,0,0,05/02/2014,13,12707.2,BT,2011,0,CNE
201402,C00145,<=10,>0,0,"<24, 48]",356.02,356.02,0,18/02/2014,11,9343.63,BT,2013,1,COEF
201402,C00146,>10,0,0,>48,291.87,786.27,,05/02/2014,17,17007.6,BT,2012,1,CNE
201402,C00147,<=10,>0,0,<=24,92.65,188.08,377.94,12/02/2014,9,2689.35,BT,2013,1,COEF
201402,C00148,,0,0,"<24, 48]",261.01,257.8,0,03/02/2014,14,1191.74,BT,2011,1,CNE
201402,C00150,>10,0,0,"<24, 48]",197.49,2.12,186.62,17/02/2014,13,4601.97,BT,2012,1,COEF
201402,C00151,>10,0,0,"<24, 48]",397.36,0,0,06/02/2014,14,8023.8,BT,2012,1,CNE
201402,C00152,,0,0,,196.64,0,313.34,03/02/2014,15,8184.78,BT,2013,1,COEF
201402,C00154,<=10,0,0,<=24,735.42,740.86,0,21/02/2014,19,734.65,BT,2013,0,CNE
201402,C00155,<=10,0,0,,566.45,0,0,07/02/2014,9,14458.9,BT,2012,1,COEF
201402,C00157,<=10,0,0,>48,407.92,0,0,25/02/2014,10,9920.25,BT,2013,0,CNE
201402,C00158,>10,0,0,"<24, 48]",276.88,0,0,03/02/2014,13,5718.96,BT,2011,1,COEF
201402,C00159,,0,0,>48,983.64,0,0,19/02/2014,18,44066.8,BT,2012,1,COEF
201402,C00160,,0,0,"<24, 48]",1297.78,0,0,06/02/2014,11,9145.02,BT,2013,0,CNE
201402,C00162,<=10,0,0,>48,321.57,321.69,221.48,06/02/2014,14,7562.75,BT,2012,1,COEF
201402,C00164,<=10,0,0,"<24, 48]",735.15,0,0,20/02/2014,8,4815.32,BT,2013,0,COEF
201402,C00165,>10,0,0,"<24, 48]",300.04,300.59,300.83,05/02/2014,9,5388.72,BT,2011,1,COEF
201402,C00168,<=10,0,0,>48,502.72,0,,04/02/2014,12,12574.9,BT,2013,1,CNE
201402,C00169,,0,0,>48,350.2,288.88,351.34,07/02/2014,15,7176.16,BT,2012,1,COEF
201402,C00170,<=10,0,0,"<24, 48]",650.47,619.57,617.13,24/02/2014,16,8684.43,BT,2011,0,COEF
201402,C00171,<=10,0,0,"<24, 48]",189.77,0.31,190.31,14/02/2014,11,3753.99,BT,2012,1,CNE
201402,C00172,>10,0,0,"<24, 48]",854.36,1432.02,0,07/02/2014,8,10231.9,BT,2012,0,CNE
201402,C00175,<=10,>0,0,"<24, 48]",627.06,1321.46,0,14/02/2014,12,20149,BT,2012,0,COEF
201402,C00177,<=10,0,0,<=24,567.83,576.25,,14/02/2014,16,5409.32,BT,2012,1,CNE
201402,C00178,<=10,>0,0,"<24, 48]",3935.02,3938.06,5260.39,05/02/2014,14,35720.3,BT,2013,0,COEF
201402,C00179,,0,0,"<24, 48]",281.04,0,87.58,13/02/2014,8,3956.03,BT,2012,1,CNE
201402,C00180,>10,0,0,,612.29,1978.9,2263.14,10/02/2014,11,33222.4,BT,2011,1,CNE
201402,C00181,>10,0,0,"<24, 48]",670.62,1157.7,0,17/02/2014,7,28372.4,BT,2012,1,COEF
201402,C00182,<=10,0,0,"<24, 48]",866.99,0,0,20/02/2014,11,8899.63,BT,2012,0,CNE
201402,C00183,<=10,0,0,"<24, 48]",333.5,332.57,3.83,07/02/2014,18,6310.46,BT,2013,1,COEF
201402,C00184,<=10,0,0,"<24, 48]",1999.51,0,0,12/02/2014,13,67685.3,BT,2012,1,COEF
201402,C00186,,0,0,<=24,555.38,261.51,0,05/02/2014,17,555.67,BT,2013,0,CNE
201402,C00187,<=10,0,0,<=24,300.92,453.54,608.15,12/02/2014,15,1350.95,BT,2012,0,CNE
201402,C00188,>10,0,0,"<24, 48]",289.39,289.93,289.13,05/02/2014,15,5435.37,BT,2012,1,COEF
201402,C00189,<=10,0,0,>48,669.64,0,0,24/02/2014,8,71472.4,BT,2012,1,CNE
201402,C00190,<=10,0,0,>48,795.82,0,0,04/02/2014,14,69867.7,BT,2012,1,CNE
201402,C00192,<=10,0,0,"<24, 48]",151.96,0,0,03/02/2014,11,1951.22,BT,2012,1,COEF
201402,C00193,<=10,0,0,"<24, 48]",101.02,87.23,0,03/02/2014,15,3581.74,BT,2013,1,CNE
201402,C00194,,0,0,"<24, 48]",219,153.74,153.53,07/02/2014,15,3381.32,BT,2012,1,COEF
201402,C00195,,0,0,<=24,253.35,0,0,06/02/2014,13,5015.85,BT,2013,1,COEF
201402,C00196,>10,>0,0,"<24, 48]",158.2,239.91,0,25/02/2014,9,2652.41,BT,2012,1,COEF
201402,C00197,<=10,>0,1,"<24, 48]",2377.84,0,0,10/02/2014,13,21615.2,BT,2013,0,COEF
201402,C00199,>10,0,0,"<24, 48]",155.08,156.69,155.67,07/02/2014,11,1338.89,BT,2011,1,COEF
201402,C00203,<=10,0,0,<=24,266.45,266.46,266.55,19/02/2014,11,1268.52,BT,2011,1,CNE
201402,C00204,<=10,0,0,"<24, 48]",1197.02,1701.98,0,25/02/2014,19,14819.4,BT,2013,0,COEF
201402,C00205,<=10,>0,1,"<24, 48]",1271.19,0,0,24/02/2014,7,10575.4,BT,2013,0,COEF
201402,C00206,<=10,0,0,"<24, 48]",945.73,960.47,962.83,03/02/2014,7,19866.1,BT,2013,1,CNE
201402,C00207,<=10,>0,0,"<24, 48]",838.92,0,0,07/02/2014,11,8572.74,BT,2012,0,CNE
201402,C00209,,0,0,"<24, 48]",702.11,911.18,0,05/02/2014,7,28357.1,BT,2013,1,COEF
201402,C00210,>10,>0,1,"<24, 48]",2531.77,0,0,04/02/2014,10,17017.9,BT,2012,0,CNE
201402,C00212,<=10,0,0,"<24, 48]",301.29,0,0,20/02/2014,8,13216.3,BT,2013,1,CNE
201402,C00213,>10,0,0,"<24, 48]",575.88,568.07,1171.46,19/02/2014,13,4472.66,BT,2011,1,CNE
201402,C00214,<=10,0,0,"<24, 48]",571.22,561.78,562.02,07/02/2014,11,10527.3,BT,2013,1,CNE
201402,C00216,>10,0,0,>48,513.39,508.4,0,04/02/2014,14,7013.97,BT,2011,1,CNE
201402,C00218,>10,0,0,"<24, 48]",136.18,204.33,,20/02/2014,17,4683.74,BT,2012,1,CNE
201402,C00219,<=10,0,0,>48,242.7,0,145.22,11/02/2014,15,14710.2,BT,2011,1,COEF
201402,C00220,>10,0,0,>48,1951.03,0,0,21/02/2014,8,45789.5,BT,2011,1,COEF
201402,C00222,,0,0,"<24, 48]",434.15,24.35,232.7,18/02/2014,8,9815.12,BT,2011,1,COEF
201402,C00223,>10,>0,0,"<24, 48]",244.7,173.22,176.96,28/02/2014,9,6770.65,BT,2011,1,COEF
201402,C00224,>10,0,0,>48,436.78,437.38,875.81,06/02/2014,13,5602.74,BT,2011,1,COEF
201402,C00225,<=10,0,0,,354.08,0,545.96,10/02/2014,18,13628.6,BT,2013,1,CNE
201402,C00226,,0,0,"<24, 48]",365.86,0,0,13/02/2014,9,18745.5,BT,2012,1,CNE
201402,C00228,<=10,0,0,"<24, 48]",805.33,808.08,0,13/02/2014,13,21670.3,BT,2012,1,CNE
201402,C00230,,0,0,>48,261.17,59.48,188.93,04/02/2014,9,8151.22,BT,2013,1,CNE
201402,C00231,>10,0,0,,217.64,0,319.05,03/02/2014,12,1265.01,BT,2010,1,COEF
201402,C00232,>10,0,0,"<24, 48]",1921.96,0.83,0,03/02/2014,8,49776.3,BT,2012,1,COEF
201402,C00233,>10,0,0,>48,2275.98,0,,03/02/2014,10,24549.5,BT,2012,0,CNE
201402,C00235,>10,0,0,"<24, 48]",303.93,547.9,0,07/02/2014,8,13721.6,BT,2011,1,CNE
201402,C00238,<=10,0,0,>48,2039.22,0,0,06/02/2014,10,33717.1,BT,2010,1,CNE
201402,C00239,>10,0,0,"<24, 48]",303.2,607.81,306.94,28/02/2014,11,1494.54,BT,2011,1,COEF
201402,C00240,>10,0,0,>48,806.11,0,0,03/02/2014,16,16219.5,BT,2011,1,CNE
201402,C00241,,>0,0,"<24, 48]",1691.43,848.46,1693.96,21/02/2014,12,41868.7,BT,2012,1,CNE
201402,C00242,<=10,0,0,>48,36.62,1.52,830.37,03/02/2014,8,24563.8,BT,2013,1,COEF
201402,C00243,>10,0,0,"<24, 48]",269.77,0,,03/02/2014,13,2368.32,BT,2011,1,COEF
201402,C00244,>10,0,0,"<24, 48]",107.6,0,0,03/02/2014,11,1053.34,BT,2011,1,COEF
201402,C00245,<=10,0,0,"<24, 48]",206.47,207.4,208.85,20/02/2014,11,16959.1,BT,2013,1,CNE
201402,C00246,>10,0,0,>48,178.62,179.19,13.67,24/02/2014,10,4384.85,BT,2012,1,COEF
201402,C00248,>10,0,0,"<24, 48]",1415.2,1418.21,0,19/02/2014,13,31804,BT,2012,1,COEF
201402,C00249,<=10,0,0,>48,776.12,0,0,03/02/2014,12,30087.9,BT,2013,1,COEF
201402,C00252,<=10,0,0,"<24, 48]",61.64,0,0,05/02/2014,15,10845.2,BT,2012,1,COEF
201402,C00253,,0,0,"<24, 48]",481.51,479.84,965.2,07/02/2014,7,3756.57,BT,2011,1,COEF
201402,C00254,<=10,0,0,,1480.06,1491.15,1509.31,14/02/2014,12,46894.9,BT,2012,1,CNE
201402,C00255,<=10,0,0,"<24, 48]",402.03,804.17,404.82,26/02/2014,19,3298.32,BT,2011,0,COEF
201402,C00256,,0,0,"<24, 48]",99.42,48.54,0,07/02/2014,7,5365.6,BT,2013,1,COEF
201402,C00257,<=10,0,0,"<24, 48]",178.24,0,,03/02/2014,14,4847.26,BT,2013,1,CNE
201402,C00258,>10,0,0,"<24, 48]",419.79,418.11,415.89,17/02/2014,12,2823.36,BT,2011,1,CNE
201402,C00259,<=10,0,0,>48,724.5,1453.47,2191.52,03/02/2014,12,19786.5,BT,2012,1,CNE
201402,C00262,,0,0,,320.87,245.76,319.48,07/02/2014,9,10106.8,BT,2013,1,CNE
201402,C00263,,0,0,"<24, 48]",45.01,39.02,175.34,20/02/2014,14,2073.56,BT,2012,1,CNE
201402,C00265,<=10,0,0,>48,24.43,0,0,06/02/2014,15,34013.9,BT,2013,1,COEF
201402,C00266,,>0,0,"<24, 48]",1536.77,0,0,10/02/2014,7,7883.01,BT,2012,0,CNE
201402,C00268,>10,0,0,"<24, 48]",138.62,100.94,0.12,04/02/2014,7,1382.05,BT,2011,1,COEF
201402,C00269,>10,0,1,>48,152.46,0,0,11/02/2014,15,4162.02,BT,2011,1,COEF
201402,C00270,<=10,>0,0,"<24, 48]",608.95,915.38,915.38,04/02/2014,15,6006.18,BT,2013,0,CNE
201402,C00271,,0,0,"<24, 48]",647.37,0,648.13,19/02/2014,20,18500.5,BT,2013,1,COEF
201402,C00272,,0,0,>48,536.14,0,0,06/02/2014,7,34399.2,BT,2013,1,COEF
201402,C00273,<=10,0,0,>48,1479.94,479.95,479.95,28/02/2014,8,75634.7,BT,2013,1,CNE
201402,C00274,<=10,0,0,<=24,212.58,0,,03/02/2014,12,2916.74,BT,2013,1,COEF
201402,C00275,<=10,0,0,>48,260.15,260.15,260.34,07/02/2014,8,5763.22,BT,2013,1,COEF
201402,C00276,<=10,0,0,"<24, 48]",180.38,0,0,10/02/2014,12,18446.4,BT,2013,1,COEF
201402,C00277,>10,0,0,"<24, 48]",230.21,222.6,38.62,11/02/2014,12,1220.26,BT,2011,1,CNE
201402,C00278,>10,0,0,"<24, 48]",424.95,424.47,424.44,26/02/2014,17,10245.9,BT,2012,1,CNE
201402,C00279,<=10,0,0,<=24,165.79,0,0,05/02/2014,11,1743.65,BT,2013,1,CNE
201402,C00280,>10,0,0,>48,22.7,0,0,06/02/2014,18,2836.26,BT,2011,1,COEF
201402,C00281,>10,>0,0,"<24, 48]",1264.28,0,0,12/02/2014,12,7452.32,BT,2012,0,CNE
201402,C00282,>10,>0,1,"<24, 48]",316.87,639.86,645.23,21/02/2014,19,5613.95,BT,2013,1,CNE
201402,C00284,,0,0,>48,104.81,326.34,376.9,03/02/2014,15,793.19,BT,2010,1,COEF
201402,C00285,<=10,0,0,,1786.59,1242.92,1242.92,11/02/2014,14,22110.5,BT,2012,1,CNE
201402,C00286,>10,0,0,"<24, 48]",1264.69,0,,13/02/2014,8,7348.21,BT,2011,0,CNE
201402,C00289,<=10,0,0,"<24, 48]",415.36,624.75,835.69,07/02/2014,12,3646.5,BT,2012,0,CNE
201402,C00290,<=10,0,0,<=24,975.05,0,0,14/02/2014,18,975.59,BT,2014,1,COEF
201402,C00291,<=10,0,0,<=24,115.44,0,,05/02/2014,9,1844.68,BT,2013,1,COEF
201402,C00292,,0,0,"<24, 48]",135.98,0,136.36,13/02/2014,14,3461.2,BT,2013,1,CNE
201402,C00293,,>0,0,<=24,597.34,798.73,0,26/02/2014,16,2982.54,BT,2013,0,COEF
201402,C00297,<=10,0,0,"<24, 48]",646.44,0,0,06/02/2014,8,12406.2,BT,2012,1,COEF
201402,C00298,>10,0,0,"<24, 48]",363.79,361.05,0,04/02/2014,16,2632.92,BT,2011,1,CNE
201402,C00299,>10,>0,1,>48,1747.71,0,0,11/02/2014,7,19667.6,BT,2012,0,CNE
201402,C00300,,0,0,"<24, 48]",367.05,949.46,951.11,24/02/2014,15,9735.06,BT,2011,1,CNE
201402,C00301,>10,0,0,"<24, 48]",160.98,169.77,140.77,14/02/2014,11,2015.24,BT,2011,1,CNE
201402,C00302,>10,0,0,>48,363.94,365.39,0,17/02/2014,7,6167.04,BT,2011,1,CNE
201402,C00304,<=10,0,0,"<24, 48]",1377.27,0,0,06/02/2014,11,12072.6,BT,2013,0,CNE
201402,C00308,<=10,0,0,"<24, 48]",658.55,738.27,693.3,10/02/2014,16,6950.82,BT,2011,1,CNE
201402,C00309,<=10,>0,0,>48,3742.2,0,0,11/02/2014,7,41434.3,BT,2013,0,CNE
201402,C00310,,0,0,>48,840.58,0,0,03/02/2014,9,25173.7,BT,2013,1,COEF
201402,C00311,>10,>0,0,"<24, 48]",2608.04,2619.83,0,26/02/2014,14,64117.8,BT,2012,1,CNE
201402,C00312,<=10,0,0,"<24, 48]",236.03,76.41,217.48,18/02/2014,11,4046.54,BT,2012,1,CNE
201402,C00313,<=10,0,0,"<24, 48]",115.74,0,0,03/02/2014,12,5259.07,BT,2013,1,COEF
201402,C00315,<=10,0,0,"<24, 48]",1320.33,113.84,16.49,05/02/2014,17,43530.7,BT,2013,1,COEF
